Series_Title,Director,type
The Lion in Winter,Anthony Harvey,DVD
The Avengers,Joss Whedon,DVD
Willy Wonka & the Chocolate Factory,Mel Stuart,DVD
What's Eating Gilbert Grape,Lasse Hallström,DVD
His Girl Friday,Howard Hawks,DVD
Midnight Express,Alan Parker,DVD
Munna Bhai M.B.B.S.,Rajkumar Hirani,DVD
Dil Bechara,Mukesh Chhabra,DVD
La haine,Mathieu Kassovitz,DVD
Dallas Buyers Club,Jean-Marc Vallée,DVD
Saving Private Ryan,Steven Spielberg,DVD
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,DVD
American Gangster,Ridley Scott,DVD
Forrest Gump,Robert Zemeckis,DVD
Gangs of Wasseypur,Anurag Kashyap,DVD
A Bronx Tale,Robert De Niro,DVD
Harry Potter and the Goblet of Fire,Mike Newell,DVD
Tropa de Elite,José Padilha,DVD
12 Years a Slave,Steve McQueen,DVD
The Bridge on the River Kwai,David Lean,DVD
Apollo 13,Ron Howard,DVD
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,Ki-duk Kim,DVD
Primal Fear,Gregory Hoblit,DVD
Guess Who's Coming to Dinner,Stanley Kramer,DVD
Fight Club,David Fincher,DVD
Die Hard: With a Vengeance,John McTiernan,DVD
Mr. Nobody,Jaco Van Dormael,DVD
Shutter Island,Martin Scorsese,DVD
The Last Emperor,Bernardo Bertolucci,DVD
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,DVD
Predator,John McTiernan,DVD
Shrek,Andrew Adamson,DVD
White Heat,Raoul Walsh,DVD
Full Metal Jacket,Stanley Kubrick,DVD
East of Eden,Elia Kazan,DVD
Soul,Pete Docter,DVD
Letters from Iwo Jima,Clint Eastwood,DVD
Aliens,James Cameron,DVD
The Searchers,John Ford,DVD
The Lady Vanishes,Alfred Hitchcock,DVD
Blue Velvet,David Lynch,DVD
Drishyam,Jeethu Joseph,DVD
Ivanovo detstvo,Andrei Tarkovsky,DVD
All Quiet on the Western Front,Lewis Milestone,DVD
Tumbbad,Rahi Anil Barve,DVD
Batman Begins,Christopher Nolan,DVD
Bronenosets Potemkin,Sergei M. Eisenstein,DVD
The Sting,George Roy Hill,DVD
Tôkyô goddofâzâzu,Satoshi Kon,DVD
Cool Hand Luke,Stuart Rosenberg,DVD
El secreto de sus ojos,Juan José Campanella,DVD
The Remains of the Day,James Ivory,DVD
Pride,Matthew Warchus,DVD
Serpico,Sidney Lumet,DVD
The Lord of the Rings: The Return of the King,Peter Jackson,DVD
The 39 Steps,Alfred Hitchcock,DVD
Just Mercy,Destin Daniel Cretton,DVD
Miller's Crossing,Joel Coen,DVD
Up,Pete Docter,DVD
Inside Man,Spike Lee,DVD
Tenkû no shiro Rapyuta,Hayao Miyazaki,DVD
Twelve Monkeys,Terry Gilliam,DVD
Misery,Rob Reiner,DVD
Dogville,Lars von Trier,DVD
Short Cuts,Robert Altman,DVD
The Station Agent,Tom McCarthy,DVD
